pop,entry,DTH,GW_1k,GM2,ton_hectare,SPI,HI,FE,TL,IN2_wt,IN3_wt,INL2,INL3,IN2_PI,IN3_PI,IN2_IN3_PI
2,182,71.1790241,35.6326783,20276.77231,6.420093605,0.331939469,0.463766177,40.0132852,33.69774184,3.371375763,3.648860485,17.64357369,15.570639,0.084301978,0.098479623,0.182772637
2,183,71.03179084,31.0726783,18393.88088,4.877236462,0.291939469,0.437153139,52.21899948,31.6148467,2.824548499,3.119905823,14.49357369,13.51671058,0.085439102,0.101329121,0.186759259
2,184,92.99498253,35.13558413,14070.16969,5.019605046,0.307079365,0.40569389,43.24871611,32.03937478,5.952840156,4.114139295,24.14397405,14.57402121,0.161098803,0.113506082,0.274595921
2,186,89.9691558,30.9633697,15362.93186,4.70148985,0.321833015,0.369656788,42.69167684,31.43175293,4.118820226,2.27180778,22.31929825,10.5734373,0.145591087,0.07829512,0.223877242
1,870,105.9949825,23.54184667,12777.71644,3.670485183,0.216480212,0.393585274,84.29874348,29.11086259,3.828218893,2.340137759,20.43701367,11.20768957,0.152785946,0.098556044,0.251333027
1,871,85.9691558,26.35375046,20298.92714,5.130669588,0.308171216,0.392262578,53.49562446,26.46744898,4.136934461,3.533346714,14.68361939,10.24128294,0.116994135,0.09994127,0.21692644
1,872,93.03179084,26.68558413,23445.32397,6.322462189,0.347079365,0.439951918,53.83157326,28.54351839,4.360420207,2.776441686,17.44397405,9.4935596,0.137979208,0.090118778,0.228089022
1,873,89.88455759,32.2233697,24594.20043,7.878632707,0.351833015,0.427720145,42.57739112,26.40453998,3.364039427,2.198299938,15.73596491,8.596249586,0.140347014,0.091569516,0.231907565
1,875,113.9949825,22.82108516,14905.52016,4.400697137,0.26380381,0.33805316,65.5022768,28.28947048,4.213990423,2.355059892,20.95837138,11.08033164,0.158122829,0.092995313,0.251109177
1,880,93.03179084,24.78558413,13655.0154,3.465319331,0.307079365,0.297809723,45.43157326,28.54351839,4.375420207,2.460441686,21.41064072,10.7935596,0.1782078,0.103839082,0.282037918
1,883,90.03179084,32.1233697,19951.21757,6.358632707,0.401833015,0.4472638,38.81739112,25.75779044,3.613255883,NA,13.60263158,NA,0.113831252,NA,0.114052891
1,885,85.99498253,29.98375046,21537.24714,6.250669588,0.358171216,0.41344873,42.79848161,26.03934287,4.065790067,3.402832429,14.99195273,12.0385844,0.126919565,0.109949367,0.236859969
1,886,89.88455759,31.9333697,12737.20614,4.015775564,0.381833015,0.404703279,37.40024827,23.60331995,2.952983608,2.326751973,13.21929825,8.460373855,0.10568701,0.081489597,0.187167642
1,887,105.8845576,16.40184667,15343.38501,3.167628041,0.286480212,0.35036183,85.81874348,25.96053573,3.713526668,2.563596237,18.86201367,11.38899132,0.152746297,0.104899443,0.257636775
1,888,85.88455759,33.37375046,16467.22428,5.279241016,0.278171216,0.458389481,55.50705304,27.13901601,4.515097842,3.335290907,16.04195273,9.569886154,0.136347254,0.099824148,0.236162438
1,889,93.04344111,30.02558413,17745.23254,5.408176474,0.397079365,0.426276917,41.12300183,26.47630539,4.331972891,3.055541575,14.58564072,9.13215687,0.125760019,0.08722807,0.212979124
1,891,113.9949825,19.51108516,14256.09159,3.794982851,0.28380381,0.410439005,86.53084823,28.53947048,4.363990423,2.757059892,22.31670471,11.94699831,0.1563207,0.101332625,0.257644361
1,892,89.88455759,33.7333697,17534.22329,5.867204135,0.381833015,0.4842551,43.02310541,26.35331995,4.169983608,2.937751973,15.35263158,10.49370719,0.118155189,0.081996986,0.20014321
